id,club,player,reason,return_date,status,club_abbr,scraped_at,source_url
53c44a74-cb47-4e61-b55d-92dd8f6e4eab,Chelsea,Trevoh Chalobah,Ankle/Foot Injury,21/04/2026,Not Available - Ruled Out,CFC,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
56036b50-bc8c-40fd-82b2-7330811d2b4c,Leeds United,Joe Rodon,Ankle/Foot Injury,01/05/2026,Not Available - Ruled Out,LEE,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
5669290b-9173-40a0-b840-0c18bb4f5b3d,Manchester United,Diogo Dalot,Illness,13/04/2026,Late Fitness Test - 75%,MUN,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
582f87f1-2a59-4c55-8eb1-18310f699b0c,Chelsea,Enzo Fernandez,Other,18/04/2026,Not Available - Ruled Out,CFC,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
5a1e51ea-2479-4d5b-8896-4024eaedee12,Liverpool,Wataru Endo,Ankle/Foot Injury,01/06/2026,Not Available - Ruled Out,LFC,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
5afff9e2-f123-4a58-81c4-14fcce854d1b,Manchester City,John Stones,Calf/Shin/Heel Injury,19/04/2026,Currently Being Assessed - 25%,MCI,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
5eb5b8d6-f3eb-49f4-b8a5-c1d07f3aad77,Manchester United,Lisandro Martinez,Calf/Shin/Heel Injury,13/04/2026,Late Fitness Test - 75%,MUN,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
62c9a8cc-2dea-4c25-bea0-4e3c4bd9552c,Burnley,Josh Cullen,Knee Injury,19/09/2026,Not Available - Ruled Out,BUR,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
64344b91-988c-48ac-b148-5630af3e0ed2,Manchester City,Ruben Dias,Thigh Injury,25/04/2026,Not Available - Ruled Out,MCI,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
696e148d-095a-4da5-8d8a-c5f630914bb4,Tottenham Hotspur,Yves Bissouma,Other,No Return Date,Not Available - Ruled Out,TOT,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
6f126569-159e-4bd2-a7cd-193050e4bbb0,Crystal Palace,Evann Vidjannagni Guessand,Knee Injury,12/04/2026,Late Fitness Test - 50%,CRY,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
6fb78f15-3578-4d94-9f8c-886ca4d66d5d,Sunderland,Jocelin Ta Bi,Ankle/Foot Injury,01/06/2026,Not Available - Ruled Out,SUN,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
74e47bf0-2601-4835-9812-00317ef07717,Nottingham Forest,Nicolo Savona,Knee Injury,01/06/2026,Not Available - Ruled Out,NFO,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
76b71017-c076-40bb-8540-3c5100c10864,Burnley,Hannibal Mejbri,Thigh Injury,01/05/2026,Not Available - Ruled Out,BUR,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
78a201eb-59a3-4e0e-a4a2-9a008df2a28b,Sunderland,Daniel Ballard,Thigh Injury,19/04/2026,Currently Being Assessed - 25%,SUN,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
7d5a344e-0fc0-4f97-a18f-d509c93cbb7f,Fulham,Kevin Santos Lopes de Macedo,Ankle/Foot Injury,24/05/2026,Not Available - Ruled Out,FUL,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
83538d79-293e-4889-ae84-2aed06c54437,Everton,Jack Grealish,Ankle/Foot Injury,01/06/2026,Not Available - Ruled Out,EVE,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
851d6b4e-4bd7-488b-8f2f-2691b6db9178,Leeds United,Daniel James,Groin/Hip/Pelvic Injury,22/04/2026,Not Available - Ruled Out,LEE,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
884a6969-e8db-4379-9ae7-df69922d63b8,Tottenham Hotspur,Rodrigo Bentancur,Thigh Injury,02/05/2026,Not Available - Ruled Out,TOT,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
8cc45546-efc4-49ab-8033-1ca348a874cd,Leeds United,Noah Okafor,Lower Back Injury,13/04/2026,Late Fitness Test - 50%,LEE,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
8d4defe2-6a1c-4a4a-acec-fe32a71aafaf,Arsenal,Riccardo Calafiori,Other,15/04/2026,Currently Being Assessed - 25%,ARS,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
919190dc-ae2e-4160-bb95-27662637cf9f,Arsenal,Jurrien Timber,Groin/Hip/Pelvic Injury,15/04/2026,Currently Being Assessed - 50%,ARS,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
91cb4cdb-dee1-4695-bc5e-00354f61ed81,Wolverhampton Wanderers,Yerson Mosquera,Suspended,02/05/2026,Not Available - Ruled Out,WOL,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
97742ec7-e560-41aa-887b-4e7457300671,Burnley,Axel Tuanzebe,Calf/Shin/Heel Injury,19/04/2026,Currently Being Assessed - 50%,BUR,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
98406b35-ea01-4943-97c5-87d2507a8197,Sunderland,Simon Moore,Wrist/Hand Injury,No Return Date,Not Available - Ruled Out,SUN,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
9b9163ac-09be-4ac6-99cc-9781f0395178,Tottenham Hotspur,Guglielmo Vicario,Groin/Hip/Pelvic Injury,18/04/2026,Currently Being Assessed - 50%,TOT,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
9ee907e2-2283-4aa5-884c-07e757fc1170,Liverpool,Giovanni Leoni,Knee Injury,03/08/2026,Not Available - Ruled Out,LFC,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
a29ab13d-bfcb-4b0d-b715-88d1043156bb,Chelsea,Jamie Bynoe-Gittens,Thigh Injury,09/05/2026,Currently Being Assessed - Ruled Out,CFC,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
aac76930-2c7a-4cf5-a721-18b2a85490f9,Tottenham Hotspur,Dejan Kulusevski,Knee Injury,01/06/2026,Not Available - Ruled Out,TOT,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
ae1c9662-7db9-4789-9018-b6f62bb32c25,Chelsea,Filip Jorgensen,Groin/Hip/Pelvic Injury,21/04/2026,Not Available - Ruled Out,CFC,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
afaf4ca4-2466-4e36-ae94-dc5502303058,Chelsea,Mykhailo Mudryk,Suspended,No Return Date,Not Available - Ruled Out,CFC,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
b09d1e07-2aa4-4db1-8482-33a6205f8420,Burnley,Connor Roberts,Calf/Shin/Heel Injury,09/05/2026,Not Available - Ruled Out,BUR,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
b1f7455c-8a30-4601-9128-abc0f4234165,Manchester United,Bryan Mbeumo,Other,13/04/2026,Late Fitness Test - 75%,MUN,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
b80e8ff8-e841-4746-8ea8-3373032e5098,Brentford,Aaron Hickey,Thigh Injury,18/04/2026,Currently Being Assessed - 25%,BRE,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
bb8152a5-8549-4d34-adad-11cd56fc7942,Crystal Palace,Edward Nketiah,Thigh Injury,15/06/2026,Not Available - Ruled Out,CRY,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
bb8d5106-397c-4729-93e9-11a1f38cac2f,AFC Bournemouth,Justin Kluivert,Knee Injury,02/05/2026,Not Available - Ruled Out,BOU,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
bcad7c09-b9ec-4c92-be37-9887ffb35f27,Leeds United,Jaka Bijol,Other,13/04/2026,Late Fitness Test - 50%,LEE,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
bd8936c3-64d3-494a-b6ab-b0b5bb16e6ef,Nottingham Forest,Jair Cunha,Ankle/Foot Injury,12/04/2026,Late Fitness Test - 25%,NFO,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
bed2756b-1d3b-4bd5-8183-1070effa1405,Wolverhampton Wanderers,Enso Gonzalez Medina,Knee Injury,No Return Date,Not Available - Ruled Out,WOL,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
c00a5d2c-e6b5-4264-9d0c-233a11ee7b89,Nottingham Forest,Willy Boly,Knee Injury,No Return Date,Not Available - Ruled Out,NFO,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
c4060444-f5a9-4021-b00c-109d879feec3,Brighton & Hove Albion,Stefanos Tzimas,Knee Injury,12/09/2026,Not Available - Ruled Out,BRI,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
c41c5386-1798-438a-8630-9dd41632f01e,Wolverhampton Wanderers,Matt Doherty,Other,18/04/2026,Currently Being Assessed - 50%,WOL,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
c7f39968-3538-4573-8acd-457148b1c33f,Manchester City,Josko Gvardiol,Calf/Shin/Heel Injury,09/05/2026,Not Available - Ruled Out,MCI,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
c84ad955-3c60-438e-9829-d16a6cfed689,Newcastle United,Sven Botman,Head/Face Injury,12/04/2026,Late Fitness Test - 75%,NEW,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
c90185b2-d5fb-4bfa-a88a-071e6eaa2859,Brighton & Hove Albion,Lewis Dunk,Suspended,26/04/2026,Not Available - Ruled Out,BRI,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
cc03f3b7-cfa9-47f4-b049-f9b1b912c7e3,Brentford,Jordan Henderson,Other,27/04/2026,Not Available - Ruled Out,BRE,2026-04-13 04:07:26.423957+00,https://www.premierinjuries.com/injury-table.php
